id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Amparo;Stroman;Autumn39@yahoo.com;after;2025-02-13T19:01:28;30875;2978
2;Tobin;Ritchie;Destiney68@gmail.com;imaginary regarding;2025-02-13T18:23:14;25154;13187
3;Murl;Hayes;Rashad42@hotmail.com;salty;2025-02-13T23:23:06;24088;29155
4;Noemy;Stoltenberg;Rosalia23@yahoo.com;farm;2025-02-14T02:59:54;4729;7525
5;Viva;Swift;Raleigh52@gmail.com;wedding ack;2025-02-14T09:58:43;31326;7301
6;Rosanna;Greenfelder;Alexanne.Kilback73@gmail.com;scenario rundown those;2025-02-14T13:33:57;13022;30278
7;Rossie;Koss;Grant.Reichert@gmail.com;regarding;2025-02-13T15:34:24;30791;17789
8;Chet;Herman;Shaylee.Trantow@yahoo.com;resolve;2025-02-14T01:48:50;11988;21981
9;Kaylah;Lowe;Rusty.Nolan91@gmail.com;ignite uh-huh despite;2025-02-14T03:40:35;30297;4897
10;Danny;Herman;Krystina_Dooley-Boehm@yahoo.com;per;2025-02-14T11:06:08;26376;31097
